step,time_s,actor,obstacle_id,mode,x,y,theta,v,vx,vy,path_progress,minimum_clearance,ambiguity_radius,solve_time_ms,collision
0,0,ego,-1,,-1.8,-12.5,1.5707963267948966,1.5,,,0,2.050645137356911,0,0,0
0,0,obstacle,0,turn_right,-1.862219292375539,-7.5000000000000062,,,7.8764342536206048e-18,0.12863193304558482,0,2.050645137356911,0,0,0
1,0.10000000000000001,ego,-1,,-1.8000000000407212,-12.335003766990177,1.5707963272739844,1.7999246601964498,,,0.16499623300982333,1.8985323646773395,0,37.153650000000006,0
1,0.10000000000000001,obstacle,0,turn_right,-1.8618334544581674,-7.487142594698315,,,0.0038583791737162552,0.1285740530169118,0.16499623300982333,1.8985323646773395,0,37.153650000000006,0
2,0.20000000000000001,ego,-1,,-1.8000000000752703,-12.141245793080824,1.5707963266863456,2.0752348179906122,,,0.35875420691917626,1.7176830978390416,0,36.991216000000001,0
2,0.20000000000000001,obstacle,0,turn_left,-1.8618334544581674,-7.4742794013937566,,,7.8062556418956319e-18,0.12863193304558482,0.35875420691917626,1.7176830978390416,0,36.991216000000001,0
3,0.30000000000000004,ego,-1,,-1.7999408269147137,-11.93374044806712,1.5702259812873582,2.0748723072744877,,,0.56625955193288036,1.5231123798283075,0,36.806239999999995,0
3,0.30000000000000004,obstacle,0,turn_right,-1.8614476165407958,-7.4614219960920654,,,0.0038583791737162552,0.1285740530169118,0.56625955193288036,1.5231123798283075,0,36.806239999999995,0
4,0.40000000000000002,ego,-1,,-1.7993453605642786,-11.726598891908921,1.5656147644335636,2.0679796040697793,,,0.77340110809107898,1.3292011879896746,0,38.048344999999998,0
4,0.40000000000000002,obstacle,0,constant_velocity,-1.8610617786234243,-7.4485645907903741,,,0.0038583791737162552,0.1285740530169118,0.77340110809107898,1.3292011879896746,0,38.048344999999998,0
5,0.5,ego,-1,,-1.7976832187076897,-11.519384737379625,1.5599393518385258,2.0764423731576303,,,0.98061526262037546,1.1355378578285202,0,37.076695999999998,0
5,0.5,obstacle,0,turn_left,-1.8610617786234243,-7.4357013974858157,,,7.8062556418956319e-18,0.12863193304558482,0.98061526262037546,1.1355378578285202,0,37.076695999999998,0
6,0.60000000000000009,ego,-1,,-1.7951684191925346,-11.311806293728646,1.5574244115405309,2.0754322492088044,,,1.1881937062713543,0.94139215580784952,0,37.384150999999996,0
6,0.60000000000000009,obstacle,0,turn_right,-1.8606759407060527,-7.4228439921841245,,,0.0038583791737162552,0.1285740530169118,1.1881937062713543,0.94139215580784952,0,37.384150999999996,0
7,0.70000000000000007,ego,-1,,-1.7928347014600172,-11.104505849369609,1.5616554361556481,2.070842444333548,,,1.3954941506303911,0.74673355175905676,0,38.495020999999994,0
7,0.70000000000000007,obstacle,0,turn_right,-1.8599046120993918,-7.4100039456822238,,,0.0077132860666089395,0.12840046501901178,1.3954941506303911,0.74673355175905676,0,38.495020999999994,0
8,0.80000000000000004,ego,-1,,-1.7924792663295031,-10.897578963388478,1.5765055630181475,2.0677394081077329,,,1.6024210366115224,0.55146400261394124,0,40.565025999999996,0
8,0.80000000000000004,obstacle,0,constant_velocity,-1.859133283492731,-7.397163899180323,,,0.0077132860666089395,0.12840046501901178,1.6024210366115224,0.55146400261394124,0,40.565025999999996,0
9,0.90000000000000002,ego,-1,,-1.7925616260724355,-10.691162939007747,1.5658789630562393,2.0606008326928928,,,1.8088370609922535,0.35908979331670166,0,40.007412000000002,0
9,0.90000000000000002,obstacle,0,turn_left,-1.8587474455753594,-7.3843064938786318,,,0.0038583791737162561,0.1285740530169118,1.8088370609922535,0.35908979331670166,0,40.007412000000002,0
10,1,ego,-1,,-1.7845982738766286,-10.485537592368074,1.4982709798569642,2.0557728456163371,,,2.0144624076319264,0.19041763927771727,0,41.327244,0
10,1,obstacle,0,turn_right,-1.8579761169686986,-7.3714664473767311,,,0.0077132860666089403,0.12840046501901178,2.0144624076319264,0.19041763927771727,0,41.327244,0
11,1.1000000000000001,ego,-1,,-1.7631194103280317,-10.281259201402507,1.4337870519715961,2.0530286794251351,,,2.2187407985974925,0.060473931145397897,0,40.418112000000001,0
11,1.1000000000000001,obstacle,0,constant_velocity,-1.8572047883620377,-7.3586264008748303,,,0.0077132860666089403,0.12840046501901178,2.2187407985974925,0.060473931145397897,0,40.418112000000001,0
12,1.2000000000000002,ego,-1,,-1.7272413619595977,-10.078800412072669,1.3570689592151246,2.0602442941061625,,,2.4211995879273314,0.0054048659609809979,0,38.824378000000003,0
