pair,profile,environment,obstacles,classes,modes_per_class,seed,status,target_match,reverse_match,scenario_budget,controller_a,controller_b,nondro_artifact,nondro_status,nondro_error,nondro_backup_available,nondro_backup_removal_budget_exceeded,nondro_backup_dro_failed,nondro_braking_collision_feasible,nondro_any_homotopy_geometrically_feasible,nondro_last_qp_converged,nondro_sqp_sampled_collision_feasible,nondro_fallback_sampled_collision_feasible,nondro_failure_class,nondro_collision,nondro_completed_path,nondro_termination_reason,nondro_executed_steps,nondro_certified_decisions,nondro_sh_decisions,nondro_missed_mode_rollout,nondro_missed_obstacle_decisions,nondro_mode_checks,nondro_solve_count,nondro_solve_total_ms,nondro_solve_mean_ms,nondro_solve_max_ms,nondro_control_effort,nondro_max_conservatism_m,nondro_average_conservatism_m,nondro_margin_sum_m,nondro_margin_count,nondro_plant_seed,nondro_controller_seed,nondro_backend,nondro_solver_identity,dro_artifact,dro_status,dro_error,dro_backup_available,dro_backup_removal_budget_exceeded,dro_backup_dro_failed,dro_braking_collision_feasible,dro_any_homotopy_geometrically_feasible,dro_last_qp_converged,dro_sqp_sampled_collision_feasible,dro_fallback_sampled_collision_feasible,dro_failure_class,dro_collision,dro_completed_path,dro_termination_reason,dro_executed_steps,dro_certified_decisions,dro_sh_decisions,dro_missed_mode_rollout,dro_missed_obstacle_decisions,dro_mode_checks,dro_solve_count,dro_solve_total_ms,dro_solve_mean_ms,dro_solve_max_ms,dro_control_effort,dro_max_conservatism_m,dro_average_conservatism_m,dro_margin_sum_m,dro_margin_count,dro_plant_seed,dro_controller_seed,dro_backend,dro_solver_identity,paired_nominal_prefix_equal,paired_obstacle_prefix_equal,nondro_safe_completion,dro_safe_completion,nondro_collision_dro_collision_free_incomplete
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,77,OK,False,False,20,sh_mpcc_dro,sh_mpcc_resample,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,1,10,143,143,15924.382056,111.35931507692308,287.187072,59.480745076631685,0.003298465789692062,3.7791888331253016,544.2031919700435,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,0,0,143,143,15503.448252,108.41572204195805,327.985117,38.039946068578885,0.003361825895360271,3.8395087886954564,552.8892655721457,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,78,OK,False,False,20,sh_mpcc_dro,sh_mpcc_resample,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,12,145,145,16306.59524,112.45927751724138,281.71247700000004,115.18264266615166,0.0031869126615706733,4.422671176066224,645.7099917056687,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,1,145,145,16281.679437,112.28744439310344,325.68231,165.22089202935027,0.0031573806866657117,4.358904658889872,636.4000801979214,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,77,OK,False,False,20,sh_mpcc_dro,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,1,10,143,143,15924.382056,111.35931507692308,287.187072,59.480745076631685,0.003298465789692062,3.7791888331253016,544.2031919700435,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,1,10,143,143,16276.586435,113.82228276223776,317.414492,59.480745076631685,0.003298465789692062,3.7791888331253016,544.2031919700435,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,78,OK,False,False,20,sh_mpcc_dro,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,12,145,145,16306.59524,112.45927751724138,281.71247700000004,115.18264266615166,0.0031869126615706733,4.422671176066224,645.7099917056687,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,12,145,145,16039.396511,110.61652766206896,273.580896,115.18264266615166,0.0031869126615706733,4.422671176066224,645.7099917056687,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,77,OK,False,False,20,sh_mpcc_extra,sh_mpcc_resample,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,144,0,144,0,0,144,144,18999.133469,131.93842686805556,341.250579,109.62287089225897,0.004537100540009442,3.750135136244844,543.7695947555023,145,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,0,0,143,143,15503.448252,108.41572204195805,327.985117,38.039946068578885,0.003361825895360271,3.8395087886954564,552.8892655721457,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,78,OK,False,False,20,sh_mpcc_extra,sh_mpcc_resample,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_extra/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,146,0,146,0,0,146,146,18452.304779,126.38564917123287,375.104536,54.711282177336074,0.0038865865675458133,4.410692526991398,648.3718014677356,147,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,1,145,145,16281.679437,112.28744439310344,325.68231,165.22089202935027,0.0031573806866657117,4.358904658889872,636.4000801979214,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,77,OK,False,False,20,sh_mpcc_extra,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_extra/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,144,0,144,0,0,144,144,18999.133469,131.93842686805556,341.250579,109.62287089225897,0.004537100540009442,3.750135136244844,543.7695947555023,145,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,1,10,143,143,16276.586435,113.82228276223776,317.414492,59.480745076631685,0.003298465789692062,3.7791888331253016,544.2031919700435,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,78,OK,False,False,20,sh_mpcc_extra,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_extra/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,146,0,146,0,0,146,146,18452.304779,126.38564917123287,375.104536,54.711282177336074,0.0038865865675458133,4.410692526991398,648.3718014677356,147,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,12,145,145,16039.396511,110.61652766206896,273.580896,115.18264266615166,0.0031869126615706733,4.422671176066224,645.7099917056687,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,77,OK,False,False,20,sh_mpcc_resample,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,0,0,143,143,15503.448252,108.41572204195805,327.985117,38.039946068578885,0.003361825895360271,3.8395087886954564,552.8892655721457,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_77/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,143,0,143,1,10,143,143,16276.586435,113.82228276223776,317.414492,59.480745076631685,0.003298465789692062,3.7791888331253016,544.2031919700435,144,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_0_s20,boost_0,straight,1,1,3,78,OK,False,False,20,sh_mpcc_resample,sh_mpcc_dro_fallback,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_resample/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,1,145,145,16281.679437,112.28744439310344,325.68231,165.22089202935027,0.0031573806866657117,4.358904658889872,636.4000801979214,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_0_s20/seed_78/sh_mpcc_dro_fallback/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,145,0,145,1,12,145,145,16039.396511,110.61652766206896,273.580896,115.18264266615166,0.0031869126615706733,4.422671176066224,645.7099917056687,146,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_15_s20,boost_15,straight,1,1,3,77,OK,False,False,20,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_15_s20/seed_77/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,162,0,162,0,0,162,162,19488.809806,120.30129509876544,296.052643,386.09474002147977,0.003488458676717654,3.301952093627698,538.2181912613148,163,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_15_s20/seed_77/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,150,0,150,1,13,150,150,17632.419022,117.54946014666666,309.89804,215.5519025979827,0.002489683935821607,3.6239267632779883,547.2129412549763,151,48196808,81752046,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
straight_o1_c1_m3_boost_15_s20,boost_15,straight,1,1,3,78,OK,False,False,20,sh_mpcc,sh_mpcc_dro,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_15_s20/seed_78/sh_mpcc/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,147,0,147,0,0,147,147,16957.987212,115.36045722448979,304.457044,137.22747815177354,0.003653894266660629,4.365648698764631,646.1160074171655,148,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,/home/stephen/ros2_ws/src/DRO_SHMPCC/build-rare-mode/comparison-pilot/straight_o1_c1_m3_boost_15_s20/seed_78/sh_mpcc_dro/repeat_0,OK,,-1,-1,-1,-1,-1,-1,-1,-1,not_applicable,0,1,path_complete,151,0,151,1,17,151,151,17253.944086,114.26453037086092,280.211091,223.248560063755,0.002787668418924527,4.21672652791922,640.9424322437213,152,1961286659,1994841897,acados_hpipm_dense_qp,acados-hpipm@676c1b879,True,True,True,True,False
