step,support_evaluated,support_count,scenario_ids
0,1,3,6;9;14
1,1,2,4;19
2,1,1,12
3,1,3,7;9;16
4,1,3,0;2;19
5,1,4,3;5;8;19
6,1,4,0;5;9;14
7,1,3,0;9;15
8,1,6,7;11;14;17;18;19
9,1,4,3;7;11;18
10,1,1,3
11,1,3,1;14;19
12,1,2,1;17
13,1,3,1;2;4
14,1,2,1;19
15,1,2,11;18
16,1,3,3;4;15
17,1,6,2;4;5;7;11;14
18,1,2,14;19
19,1,2,2;14
20,1,3,1;5;14
21,1,4,1;4;11;19
22,1,3,4;15;16
23,1,3,0;9;19
24,1,4,2;6;10;14
25,1,6,6;7;9;11;12;16
26,1,4,0;2;5;7
27,1,7,5;8;9;14;15;16;17
28,1,1,11
29,1,4,0;3;10;12
30,1,6,2;4;5;10;13;19
31,1,1,10
32,1,3,2;14;16
33,1,3,1;9;10
34,1,9,1;3;4;5;7;10;13;14;16
35,1,2,0;6
36,1,5,0;4;5;17;18
37,1,6,1;8;12;13;17;18
38,1,5,0;1;4;13;16
39,1,2,6;18
40,1,4,2;6;15;17
41,1,1,9
42,1,2,0;19
43,1,2,0;6
44,1,4,2;5;8;17
45,1,1,12
46,1,2,3;9
47,1,2,11;18
48,1,2,13;18
49,1,3,7;8;14
50,1,3,10;14;19
51,1,1,14
52,1,4,1;14;16;18
53,1,3,4;9;17
54,1,1,12
55,1,0,
56,1,1,4
57,1,3,2;13;17
58,1,3,0;1;4
59,1,3,0;14;16
60,1,4,1;7;8;19
61,1,2,3;10
62,1,2,2;14
63,1,3,14;15;17
64,1,7,4;7;8;10;11;18;19
65,1,1,16
66,1,2,0;6
67,1,2,8;10
68,1,3,1;10;11
69,1,4,1;8;11;18
70,1,4,1;3;7;9
71,1,3,2;11;19
72,1,2,0;8
73,1,2,3;13
74,1,2,12;13
75,1,1,3
76,1,1,3
77,1,2,6;16
78,1,0,
79,1,0,
80,1,0,
81,1,0,
82,1,0,
83,1,0,
84,1,0,
85,1,0,
86,1,0,
87,1,0,
88,1,0,
89,1,0,
90,1,0,
91,1,0,
92,1,0,
93,1,0,
94,1,0,
95,1,0,
96,1,0,
97,1,0,
98,1,0,
99,1,0,
100,1,0,
101,1,0,
102,1,0,
103,1,0,
104,1,0,
105,1,0,
106,1,0,
107,1,0,
108,1,0,
109,1,0,
110,1,0,
111,1,0,
112,1,0,
113,1,0,
114,1,0,
115,1,0,
116,1,0,
117,1,0,
118,1,0,
119,1,0,
120,1,0,
121,1,0,
122,1,0,
123,1,0,
124,1,0,
125,1,0,
126,1,0,
127,1,0,
128,1,0,
129,1,0,
130,1,0,
131,1,0,
132,1,0,
133,1,0,
134,1,0,
135,1,0,
136,1,0,
137,1,0,
138,1,0,
139,1,0,
140,1,0,
141,1,0,
142,1,0,
143,1,0,
144,1,0,
145,1,0,
146,1,0,
147,1,0,
148,1,0,
149,1,0,
150,1,0,
151,1,0,
152,1,0,
153,1,0,
154,1,0,
155,1,0,
156,1,0,
157,1,0,
158,1,0,
159,1,0,
160,1,0,
161,1,0,
