budget_design,base_S,seed,method,plant_cut_in_probability,physical_collision_probability,safety_violation_probability,expected_safety_penetration_m,tail5_mean_safety_penetration_m,worst_safety_margin_m
equal_per_attempt,8,79,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,79,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,79,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,79,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,8,79,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,79,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,79,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,8,80,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,8,80,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,8,80,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,8,80,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,8,80,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,77,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,77,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,77,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,77,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,77,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,78,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618861781496723,0.15723772356299343,-0.7498741911825616
equal_per_attempt,20,78,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493709559128084,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248112867738423,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496225735476846,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618861781496723,0.15723772356299343,-0.7498741911825616
equal_per_attempt,20,78,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493709559128084,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248112867738423,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496225735476846,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618861781496723,0.15723772356299343,-0.7498741911825616
equal_per_attempt,20,78,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493709559128084,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248112867738423,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496225735476846,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618861781496723,0.15723772356299343,-0.7498741911825616
equal_per_attempt,20,78,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493709559128084,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248112867738423,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,78,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496225735476846,0.7498741911825616,-0.7498741911825616
equal_per_attempt,20,79,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,79,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,79,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,79,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,79,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,79,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,80,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,80,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,80,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,20,80,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,20,80,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,77,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,77,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,77,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,77,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,77,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,78,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,78,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,78,wdro,0.010484273589615577,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro,0.050000000000000003,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro,0.14999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro,0.29999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro_nominal,0.010484273589615577,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro_nominal,0.050000000000000003,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro_nominal,0.14999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,78,wdro_nominal,0.29999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,79,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,79,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,79,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,79,wdro,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,79,wdro_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,79,wdro_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,80,nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal_nominal,0.010484273589615577,0.010484273589615577,0.010484273589615577,0.0078618849370205492,0.15723769874041096,-0.74987407280248375
equal_per_attempt,40,80,nominal_nominal,0.050000000000000003,0.050000000000000003,0.050000000000000003,0.037493703640124186,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal_nominal,0.14999999999999999,0.14999999999999999,0.14999999999999999,0.11248111092037257,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,nominal_nominal,0.29999999999999999,0.29999999999999999,0.29999999999999999,0.22496222184074513,0.74987407280248364,-0.74987407280248375
equal_per_attempt,40,80,wdro,0.010484273589615577,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro,0.050000000000000003,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro,0.14999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro,0.29999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro_nominal,0.010484273589615577,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro_nominal,0.050000000000000003,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro_nominal,0.14999999999999999,0,0,0,0,0.087178288547479221
equal_per_attempt,40,80,wdro_nominal,0.29999999999999999,0,0,0,0,0.087178288547479221
