step,support_evaluated,support_count,scenario_ids
0,1,2,6;7
1,1,3,10;14;19
2,1,4,0;11;12;14
3,1,4,8;14;17;19
4,1,3,4;9;10
5,1,3,10;13;18
6,1,2,0;19
7,1,2,9;13
8,1,2,0;18
9,1,5,6;10;11;17;19
10,1,3,12;14;16
11,1,4,11;14;15;18
12,1,2,2;18
13,1,2,2;5
14,1,4,4;7;10;13
15,1,3,7;8;17
16,1,6,2;6;7;10;11;17
17,1,3,0;7;18
18,1,4,1;16;18;19
19,1,5,0;1;3;10;16
20,1,6,1;2;9;13;17;19
21,1,7,0;3;11;14;15;16;19
22,1,3,2;4;5
23,1,3,1;11;13
24,1,4,8;12;13;19
25,1,3,6;18;19
26,1,2,4;13
27,1,1,7
28,1,1,11
29,1,1,10
30,1,3,1;15;19
31,1,2,10;12
32,1,4,2;8;11;12
33,1,2,9;14
34,1,1,8
35,1,4,5;8;11;14
36,1,5,3;13;14;15;18
37,1,2,5;10
38,1,4,0;1;8;10
39,1,3,2;13;19
40,1,2,0;9
41,1,3,1;2;5
42,1,3,2;3;7
43,1,6,1;4;6;7;13;16
44,1,2,1;15
45,1,5,4;5;7;9;12
46,1,5,3;4;6;7;13
47,1,4,4;10;13;14
48,1,2,2;7
49,1,2,6;12
50,1,2,4;6
51,1,3,3;11;12
52,1,2,6;12
53,1,2,7;17
54,1,2,5;17
55,1,1,1
56,1,0,
57,1,0,
58,1,0,
59,1,0,
60,1,0,
61,1,0,
62,1,0,
63,1,0,
64,1,0,
65,1,0,
66,1,0,
67,1,0,
68,1,0,
69,1,0,
70,1,0,
71,1,0,
72,1,0,
73,1,0,
74,1,0,
75,1,0,
76,1,0,
77,1,0,
78,1,0,
79,1,0,
80,1,0,
81,1,0,
82,1,0,
83,1,0,
84,1,0,
85,1,0,
86,1,0,
87,1,0,
88,1,0,
89,1,0,
90,1,0,
91,1,0,
92,1,0,
93,1,0,
94,1,0,
95,1,0,
96,1,0,
97,1,0,
98,1,0,
99,1,0,
100,1,0,
101,1,0,
102,1,0,
103,1,0,
104,1,0,
105,1,0,
106,1,0,
107,1,0,
108,1,0,
109,1,0,
110,1,0,
111,1,0,
112,1,0,
113,1,0,
114,1,0,
115,1,0,
116,1,0,
117,1,0,
118,1,0,
119,1,0,
120,1,0,
121,1,0,
122,1,0,
123,1,0,
124,1,0,
125,1,0,
126,1,0,
127,1,0,
128,1,0,
129,1,0,
130,1,0,
131,1,0,
132,1,0,
133,1,0,
134,1,0,
135,1,0,
136,1,0,
137,1,0,
138,1,0,
139,1,0,
140,1,0,
141,1,0,
142,1,0,
143,1,0,
144,1,0,
